routeNameE,routeId,first_stopNameE,first_coordinates,last_stopNameE,last_coordinates,fullFare,journeyTime,first_stopDistrict,last_stopDistrict,routeDistance
82m,2005616,Tsuen Wan (Shiu Wo Street),"(22.371713, 114.118306)",Tsuen Wan (Shiu Wo Street),"(22.371713, 114.118306)",4.8,10,Tsuen Wan,Tsuen Wan,5636
90p,2005649,"MEI LAI ROAD, near Mei Foo Bus Terminus","(22.337033, 114.140696)","PRINCESS MARGARET HOSPITAL ROAD, near Princess Margaret Hospital Block G","(22.340788, 114.134637)",5.5,6,Sham Shui Po,Kwai Tsing,2850
90a,2005650,"MEI LAI ROAD, near Mei Foo Bus Terminus","(22.337033, 114.140696)",Kwai Chung Hospital ,"(22.341881, 114.134511)",5.5,7,Sham Shui Po,Kwai Tsing,2568
91a,2005651,"LAI KONG STREET, near Princess Margaret Hospital Lai King Building","(22.350305, 114.130557)","HING NING ROAD, near Metroplaza","(22.357213, 114.127526)",6.2,13,Kwai Tsing,Kwai Tsing,3519
91a,2005682,"LAI KONG STREET, near Princess Margaret Hospital Lai King Building","(22.350305, 114.130557)","KWAI SHING CIRCUIT, near Hong Kong Institute of Vocational Education (Kwai Chung)","(22.362477, 114.127533)",5.4,17,Kwai Tsing,Kwai Tsing,4663
91,2005683,"LAI KONG STREET, near Princess Margaret Hospital Lai King Building","(22.350305, 114.130557)","HAM TIN STREET, near Bo Shek Mansion Block 3","(22.368723, 114.117385)",6.9,13,Kwai Tsing,Tsuen Wan,7287
33m,2005684,"HONG SHING STREET, near Kornhill Block B","(22.279986, 114.214038)","HONG SHING STREET, near Kornhill Block B","(22.279986, 114.214038)",3.9,3,Eastern,Eastern,892
33,2005685,"HONG SHING STREET, near Kornhill Recreation Club","(22.280131, 114.214009)","HONG SHING STREET, near Kornhill Recreation Club","(22.280131, 114.214009)",5.6,8,Eastern,Eastern,5474
41m,2005686,Festival Walk,"(22.336892, 114.175409)",Festival Walk,"(22.336919, 114.175312)",4.7,13,Kowloon City,Kowloon City,5443
41a,2005687,Festival Walk,"(22.336892, 114.175409)",Festival Walk,"(22.336919, 114.175312)",4.7,12,Kowloon City,Kowloon City,4577
32a,2005688,"HONG PAK PATH, near Mt Parker Lodge Block A","(22.280962, 114.212932)","HONG PAK PATH, near Mt Parker Lodge Block A","(22.280962, 114.212932)",3.9,9,Eastern,Eastern,2272
32,2005689,"HONG SHING STREET, near Kornhill Recreation Club","(22.280131, 114.214009)","HONG SHING STREET, near Kornhill Recreation Club","(22.280131, 114.214009)",5.6,9,Eastern,Eastern,6468
42,2005690,"YU CHAU WEST STREET, near Hang Fat Industrial Building","(22.339328, 114.150199)","Chak On Road, outside Lai Chak House, Chak On Estate","(22.340522, 114.164711)",6.8,12,Sham Shui Po,Sham Shui Po,5998
46,2005715,FU TAI ESTATE,"(22.413273, 113.982499)",FU TAI ESTATE,"(22.413174, 113.982509)",5.2,19,Tuen Mun,Tuen Mun,7185
46x,2005748,FU TAI ESTATE,"(22.413273, 113.982499)",FU TAI ESTATE,"(22.413174, 113.982509)",5.2,17,Tuen Mun,Tuen Mun,7244
46a,2005749,"KING FUNG PATH, near Noble Place Block 2","(22.405462, 113.982383)","KING FUNG PATH, near Noble Place Block 2","(22.405435, 113.982345)",5.2,16,Tuen Mun,Tuen Mun,4550
22a,2005782,Lok Wah Minibus Terminus,"(22.320767, 114.22061)",Lok Wah Minibus Terminus,"(22.320767, 114.220523)",6.1,18,Kwun Tong,Kwun Tong,5864
22a,2005783,Lok Wah Minibus Terminus,"(22.320767, 114.22061)",Lok Wah Minibus Terminus,"(22.320767, 114.220523)",6.1,29,Kwun Tong,Kwun Tong,8397
35,2005814,"Choi Hei Road, outside Choi Yuet House, Choi Ha Estate","(22.326348, 114.217739)","Choi Hei Road, outside Choi Yuet House, Choi Ha Estate","(22.326348, 114.217739)",4.4,11,Kwun Tong,Kwun Tong,7606
411,2005847,"LAI KONG STREET, near Highland Park Block 1","(22.349899, 114.130625)","LAI KONG STREET, near Highland Park Block 1","(22.349899, 114.130625)",9.4,37,Kwai Tsing,Kwai Tsing,12031
72,2005880,"Hammer Hill Road, outside Grand View Garden Commercial And Car Park Block","(22.340953, 114.207443)","Hammer Hill Road, outside Grand View Garden Commercial And Car Park Block","(22.340953, 114.207443)",7.5,14,Wong Tai Sin,Wong Tai Sin,10542
36a,2005913,"Hong Lee Road, outside St. Catherine's School For Girls, Kwun Tong","(22.318979, 114.220075)","Hong Lee Road, outside St. Catherine's School For Girls, Kwun Tong","(22.318979, 114.220075)",4.1,9,Kwun Tong,Kwun Tong,2210
36a,2005914,"Hong Lee Road, outside St. Catherine's School For Girls, Kwun Tong","(22.318979, 114.220075)","Hong Lee Road, outside St. Catherine's School For Girls, Kwun Tong","(22.318979, 114.220075)",4.1,12,Kwun Tong,Kwun Tong,2955
34m,2005946,"Sau Lai Street, outside Hiu Lai Shopping Centre","(22.32071, 114.229734)","Sau Lai Street, outside Hiu Lai Shopping Centre","(22.320656, 114.229782)",4.1,13,Kwun Tong,Kwun Tong,2405
34s,2005947,Sau Mau Ping (Upper) Bus Terminus,"(22.314955, 114.236001)",Sau Mau Ping (Upper) Bus Terminus,"(22.314946, 114.236079)",4.1,15,Kwun Tong,Kwun Tong,3057
34s,2005949,"Hiu Kwong Street, outside Hiu Kwong Court","(22.318082, 114.23081)","Hiu Kwong Street, outside Hiu Shun House, Hiu Lai Court","(22.318994, 114.229578)",4.1,11,Kwun Tong,Kwun Tong,2040
88d,2005979,Tivoli Garden Minibus Terminus,"(22.354469, 114.107421)","HING NING ROAD, near Metroplaza","(22.357213, 114.127526)",5.3,12,Kwai Tsing,Kwai Tsing,12189
60,2006012,Ping Tin Public Transport Interchange,"(22.307252, 114.235639)",Ping Tin Public Transport Interchange,"(22.307325, 114.235649)",5.7,21,Kwun Tong,Kwun Tong,9218
25a,2006045,Kowloon Tong (Suffolk Road) Public Transport Interchange,"(22.336441, 114.176777)",Tung Tau Estate (Tung Lung Road) Minibus Terminus,"(22.333469, 114.192871)",6.9,16,Kowloon City,Kowloon City,7102
25b,2006078,San Po Kong (The Latitude) Minibus Terminus,"(22.333848, 114.196997)",San Po Kong (The Latitude) Minibus Terminus,"(22.333848, 114.196997)",7.9,15,Wong Tai Sin,Wong Tai Sin,8900
25m,2006079,Kowloon Tong (Suffolk Road) Public Transport Interchange,"(22.336441, 114.176777)",Tung Tau Estate (Tung Lung Road) Minibus Terminus,"(22.333469, 114.192871)",6.9,15,Kowloon City,Kowloon City,8858
25m,2006111,Kowloon Tong (Suffolk Road) Public Transport Interchange,"(22.336441, 114.176777)","LA SALLE ROAD, near Beverly Villas Block 6","(22.32732, 114.181961)",6.9,6,Kowloon City,Kowloon City,547
25ms,2006112,Kowloon Tong (Suffolk Road) Public Transport Interchange,"(22.336441, 114.176777)",Kowloon Tong (Suffolk Road) Public Transport Interchange,"(22.336351, 114.176826)",5.6,11,Kowloon City,Kowloon City,2401
64a,2006244,"TAI WAI NEW VILLAGE ROAD, near TAI WAI NEW VILLAGE","(22.374613, 114.174175)","TSUEN NAM ROAD, near Tai Wai Station","(22.373439, 114.178457)",4.1,6,Sha Tin,Sha Tin,1363
3,2006276,"ASHLEY ROAD, near PEKING ROAD SITTING-OUT AREA","(22.295659, 114.170732)","ASHLEY ROAD, near PEKING ROAD SITTING-OUT AREA","(22.295659, 114.170732)",7.5,22,Yau Tsim Mong,Yau Tsim Mong,9349
59k,2006277,Sheung Shui Station Public Light Bus Terminus,"(22.502125, 114.127688)",Lin Ma Hang Minibus Terminus,"(22.552341, 114.181629)",9.9,25,North District,North District,19438
59k,2006279,Sheung Shui Station Public Light Bus Terminus,"(22.502125, 114.127688)",Sheung Shui Station Public Light Bus Terminus,"(22.502125, 114.127688)",9.1,22,North District,North District,18708
59k,2006281,Sheung Shui Station Public Light Bus Terminus,"(22.502125, 114.127688)",Sheung Shui Station Public Light Bus Terminus,"(22.502125, 114.127688)",9.1,19,North District,North District,15443
3,2006283,"ASHLEY ROAD, near PEKING ROAD SITTING-OUT AREA","(22.295659, 114.170732)","Chung Wui Street, outside Chung Wo Building","(22.322461, 114.16149)",7.5,9,Yau Tsim Mong,Yau Tsim Mong,3319
8,2006309,"HANKOW ROAD, near Kai Seng Commercial Centre","(22.29592, 114.171294)","HANKOW ROAD, near Kai Seng Commercial Centre","(22.29592, 114.171294)",8.0,18,Yau Tsim Mong,Yau Tsim Mong,13449
8,2006312,"HANKOW ROAD, near Kai Seng Commercial Centre","(22.29592, 114.171294)","CHUNG HAU STREET, near Cascades Block 2","(22.315571, 114.179835)",8.0,16,Yau Tsim Mong,Kowloon City,11093
8,2006314,"HANKOW ROAD, near Kai Seng Commercial Centre","(22.29592, 114.171294)","SHEUNG WO STREET, near Chan Sui Ki (La Salle) College","(22.319355, 114.183076)",8.0,17,Yau Tsim Mong,Kowloon City,6774
8s,2006315,"HANKOW ROAD, near Kai Seng Commercial Centre","(22.29592, 114.171294)","HANKOW ROAD, near Kai Seng Commercial Centre","(22.29592, 114.171294)",8.0,16,Yau Tsim Mong,Yau Tsim Mong,12430
8s,2006317,"HANKOW ROAD, near Kai Seng Commercial Centre","(22.29592, 114.171294)",Ho Man Tin Estate Public Transport Interchange,"(22.31782, 114.180961)",8.0,14,Yau Tsim Mong,Kowloon City,6241
8m,2006318,"SHEUNG WO STREET, near Chan Sui Ki (La Salle) College","(22.319355, 114.183076)","CHUNG HAU STREET, near Ho Man Tin Station","(22.309051, 114.181116)",5.5,8,Kowloon City,Kowloon City,4531
52a,2006342,"Fanling Station Road, outside Fanling Station","(22.491553, 114.139596)",Wo Mun Street Public Light Bus Terminus,"(22.500287, 114.144201)",3.9,7,North District,North District,3961
52a,2006343,Wo Mun Street Public Light Bus Terminus,"(22.500287, 114.144201)","Fanling Station Road, outside Fanling Station","(22.491553, 114.139596)",3.9,4,North District,North District,231
52k,2006375,"FANLING STATION ROAD, near Galaxy Court, FANLING TOWN CENTER","(22.493034, 114.138508)","PING CHE ROAD, near Lee Uk Tsuen","(22.533303, 114.152047)",6.6,22,North District,North District,12090
1,2006408,The Peak Galleria (Bus Terminus under),"(22.270082, 114.149882)",The Peak Galleria (Bus Terminus under),"(22.270082, 114.149882)",11.8,26,Central and Western,Central and Western,12842
1a,2006441,Hong Kong Station Minibus Terminus,"(22.285914, 114.158447)",Hong Kong Station Minibus Terminus,"(22.285914, 114.158447)",5.7,18,Central and Western,Central and Western,4427
2,2006474,Hong Kong Station Minibus Terminus,"(22.285914, 114.158447)",Hong Kong Station Minibus Terminus,"(22.285914, 114.158447)",7.5,22,Central and Western,Central and Western,8050
2,2006475,Hong Kong Station Minibus Terminus,"(22.285914, 114.158447)",Hong Kong Station Minibus Terminus,"(22.285914, 114.158447)",7.5,19,Central and Western,Central and Western,6082
28,2006476,Baguio Villa (Upper) Minibus Terminus,"(22.262267, 114.134224)","Sun Wui Road, near Capital Building","(22.277678, 114.184676)",11.5,33,Southern District,Wan Chai,22637
28,2006507,Baguio Villa (Upper) Minibus Terminus,"(22.262267, 114.134224)","SUN WUI ROAD, near Capital Building","(22.277678, 114.184676)",10.6,21,Southern District,Wan Chai,11049
28s,2006508,Baguio Villa (Upper) Minibus Terminus,"(22.262267, 114.134224)","Sun Wui Road, near Capital Building","(22.277678, 114.184676)",11.5,20,Southern District,Wan Chai,9014
28m,2006509,Baguio Villa (Upper) Minibus Terminus,"(22.262267, 114.134224)",Baguio Villa (Upper) Minibus Terminus,"(22.262267, 114.134224)",8.5,18,Southern District,Southern District,7251
3,2006510,Hong Kong Station Minibus Terminus,"(22.285914, 114.158447)","Po Shan Road, near Po Shan Mansions Block A","(22.280303, 114.141341)",7.6,16,Central and Western,Central and Western,8545
3,2006511,Hong Kong Station Minibus Terminus,"(22.285914, 114.158447)","PO SHAN ROAD, near Po Shan Mansions Block A","(22.280303, 114.141341)",7.6,13,Central and Western,Central and Western,4794
3a,2006540,Hong Kong Station Minibus Terminus,"(22.285914, 114.158447)","Kotewall Road, near Hatton House","(22.280727, 114.138983)",7.6,15,Central and Western,Central and Western,7996
3a,2006541,Hong Kong Station Minibus Terminus,"(22.285914, 114.158447)","KOTEWALL ROAD, near Hatton House","(22.280727, 114.138983)",7.6,12,Central and Western,Central and Western,3042
52k,2006542,"FANLING STATION ROAD, near Galaxy Court, FANLING TOWN CENTER","(22.493034, 114.138508)","PING YUEN ROAD, near Ping Yeung Old Village Public Toilet","(22.535138, 114.162662)",7.4,20,North District,North District,11051
52k,2006543,"FANLING STATION ROAD, near Galaxy Court, FANLING TOWN CENTER","(22.493034, 114.138508)",KWAN TEI (NORTH),"(22.512696, 114.155978)",6.2,14,North District,North District,7629
52b,2006573,"FANLING STATION ROAD, near Galaxy Court, FANLING TOWN CENTER","(22.493034, 114.138508)","FANLING STATION ROAD, near Galaxy Court, FANLING TOWN CENTER","(22.493034, 114.138508)",6.6,17,North District,North District,9803
31,2006574,Hong King Street Terminus,"(22.443934, 114.027619)","HONG KING STREET, near Lee King Building","(22.443934, 114.027619)",5.9,20,Yuen Long,Yuen Long,7224
31,2006575,Hong King Street Terminus	,"(22.443934, 114.027619)",Hong King Street Terminus	,"(22.443934, 114.027619)",5.9,19,Yuen Long,Yuen Long,8429
31a,2006576,Ping Hong Lane,"(22.440369, 114.011264)",Ping Hong Lane,"(22.440369, 114.011264)",5.9,12,Yuen Long,Yuen Long,7050
32,2006577,Yuen Long Station,"(22.446271, 114.035447)",Yuen Long Station,"(22.446271, 114.035447)",6.4,11,Yuen Long,Yuen Long,10542
105,2006606,"Ko Shan Road, outside Ko Shan Theatre","(22.314279, 114.186677)","Ko Shan Road, outside Ko Shan Theatre","(22.314279, 114.186677)",11.5,29,Kowloon City,Kowloon City,33597
15,2006609,Hang Hau (North) Public Transport Interchange,"(22.317911, 114.268993)","Hong Sing Garden Bus Terminus, outside King Ling College","(22.318659, 114.253726)",5.2,15,Sai Kung,Sai Kung,16754
15,2006610,Tsui Lam Indoor Creation Centre,"(22.322319, 114.249447)",Tsui Lam Indoor Creation Centre,"(22.322319, 114.249447)",5.2,15,Sai Kung,Sai Kung,6229
15a,2006611,Hang Hau (North) Public Transport Interchange,"(22.317911, 114.268993)","Mau Tai Road, outside Block 2, Verbena Heights","(22.322108, 114.256348)",5.2,12,Sai Kung,Sai Kung,6478
15a,2006612,"Po Ning Lane, near Tseung Kwan O Hospital","(22.318823, 114.268828)",Po Lam Public Transport Interchange,"(22.323398, 114.257931)",6.7,7,Sai Kung,Sai Kung,2490
15m,2006639,"Mau Yip Road, near Po Lam Station","(22.322767, 114.257416)","Hong Sing Garden Bus Terminus, outside King Ling College","(22.318659, 114.253726)",5.1,6,Sai Kung,Sai Kung,7945
15m,2006640,"Hong Sing Garden Bus Terminus, outside King Ling College","(22.318659, 114.253726)","Mau Yip Road, near Po Lam Station","(22.322767, 114.257416)",5.1,5,Sai Kung,Sai Kung,1831
16,2006641,Po Lam Public Transport Interchange,"(22.323398, 114.257931)","Po Toi O Chuen Road, near Po Toi O","(22.274285, 114.295618)",10.4,26,Sai Kung,Sai Kung,24091
16,2006672,"Chung Wa Road, opposite Block 6, East Point City","(22.3171, 114.26575)","Clear Water Bay Road, near Tai Au Mun","(22.296359, 114.291483)",10.4,14,Sai Kung,Sai Kung,12066
17,2006673,Tsui Lam Bus Terminus,"(22.322933, 114.249186)",Tsui Lam Bus Terminus,"(22.322933, 114.249186)",7.5,13,Sai Kung,Sai Kung,11684
17a,2006674,"Mau Yip Road, near Po Lam Station","(22.322767, 114.257416)","Po Hong Road, opposite Tseung Kwan O Village","(22.327466, 114.250576)",4.5,5,Sai Kung,Sai Kung,2455
17m,2006675,"Mau Yip Road, near Po Lam Station","(22.322767, 114.257416)",Tsui Lam Bus Terminus,"(22.322933, 114.249186)",4.5,6,Sai Kung,Sai Kung,2940
17m,2006676,Tsui Lam Bus Terminus,"(22.322933, 114.249186)","Mau Yip Road, near Po Lam Station","(22.322767, 114.257416)",4.5,5,Sai Kung,Sai Kung,351
17m,2006677,"SAI YEUNG CHOI STREET SOUTH, near Cheung Ling Mansion","(22.323807, 114.169129)","SAI YEUNG CHOI STREET SOUTH, near Cheung Ling Mansion","(22.323807, 114.169129)",5.9,19,Yau Tsim Mong,Yau Tsim Mong,3976
87,2006678,"HAM TIN STREET, near Shek Pik Resettlers' Playground, Tsuen Wan","(22.368199, 114.117065)","HAM TIN STREET, near Shek Pik Resettlers' Playground, Tsuen Wan","(22.368154, 114.117045)",5.4,9,Tsuen Wan,Tsuen Wan,4903
17m,2006679,Kowloon Hospital Main Block,"(22.32369, 114.179815)","Tung Choi Street, outside Mong Kok Police Station","(22.324674, 114.169391)",5.9,6,Kowloon City,Yau Tsim Mong,2523
87a,2006680,Container Port Road Public Transport Interchange Minibus Terminus,"(22.354548, 114.126614)",Container Port Road Public Transport Interchange Minibus Terminus,"(22.354548, 114.126614)",6.4,12,Kwai Tsing,Kwai Tsing,16229
87m,2006681,"HING NING ROAD, near Kwai Chung Plaza","(22.357312, 114.12772)","HING NING ROAD, near Kwai Chung Plaza","(22.357312, 114.12772)",6.1,8,Kwai Tsing,Kwai Tsing,4512
87k,2006705,"HING NING ROAD, near Metroplaza","(22.357493, 114.127797)",Hoi Kwai Road Public Transport Interchange,"(22.368332, 114.110676)",5.4,14,Kwai Tsing,Tsuen Wan,11002
10,2006706,"JAFFE ROAD, near Siu On Plaza","(22.280948, 114.182473)",Cyberport Bus Terminus,"(22.262383, 114.130072)",14.0,28,Wan Chai,Southern District,27214
31,2006738,Tin Wan Estate Minibus Terminus,"(22.250584, 114.149536)",Tin Wan Estate Minibus Terminus,"(22.250584, 114.149536)",12.4,47,Southern District,Southern District,25335
10p,2006739,"JAFFE ROAD, near Siu On Plaza","(22.280948, 114.182473)",Cyberport Bus Terminus,"(22.262383, 114.130072)",14.0,21,Wan Chai,Southern District,24487
n31,2006772,Tin Wan Estate Minibus Terminus,"(22.250584, 114.149536)",Tin Wan Estate Minibus Terminus,"(22.250584, 114.149536)",17.7,34,Southern District,Southern District,25333
102,2006804,Hang Hau Station Public Transport Interchange,"(22.315846, 114.264245)","HONG KEUNG STREET, near Hong Keung House","(22.334751, 114.197327)",10.8,18,Sai Kung,Wong Tai Sin,16229
406,2006837,"Shek Pai Street, near Shek On House, Shek Lei (I) Estate","(22.364133, 114.138815)","Shek Pai Street, near Shek On House, Shek Lei (I) Estate","(22.364133, 114.138815)",9.6,29,Kwai Tsing,Kwai Tsing,11566
407,2006870,Cheung Wang Estate Minibus Terminus,"(22.357354, 114.096157)","Princess Margaret Hospital Road, near Princess Margaret Hospital Block P","(22.340797, 114.1342)",11.0,24,Kwai Tsing,Kwai Tsing,17514
407,2006903,"Tam Kon Shan Road, near CNEC Lui Ming Choi Primary School","(22.362124, 114.101883)","Princess Margaret Hospital Road, near Princess Margaret Hospital Block P","(22.340797, 114.1342)",11.0,18,Kwai Tsing,Kwai Tsing,5337
407a,2006904,"Hing Ning Road, near Metroplaza","(22.357032, 114.127516)","Princess Margaret Hospital Road, near Princess Margaret Hospital Block P","(22.340797, 114.1342)",6.2,7,Kwai Tsing,Kwai Tsing,2541
407b,2006906,Cheung Wang Estate Minibus Terminus,"(22.357354, 114.096157)","KWAI SHING CIRCUIT, near Hong Kong Institute of Vocational Education (Kwai Chung)","(22.362423, 114.12765)",7.7,11,Kwai Tsing,Kwai Tsing,4953
407b,2006907,"Tam Kon Shan Road, near CNEC Lui Ming Choi Primary School","(22.362124, 114.101883)","Kwai Shing Circuit, near Hong Kong Institute of Vocational Education (Kwai Chung)","(22.362423, 114.12765)",7.7,7,Kwai Tsing,Kwai Tsing,7000
69,2006936,Laguna City Minibus Terminus,"(22.306758, 114.228593)","Lion Rock Road, near 70 Lion Rock Road","(22.329839, 114.18826)",8.9,12,Kwun Tong,Kowloon City,16027
76a,2006969,Kwong Tin Estate Minibus Terminus,"(22.302753, 114.241324)",Kwong Tin Estate Minibus Terminus,"(22.302753, 114.241324)",6.6,27,Kwun Tong,Kwun Tong,13705
76b,2007002,United Christian Hospital Minibus Terminus,"(22.322833, 114.226988)",United Christian Hospital Minibus Terminus,"(22.322833, 114.226988)",6.6,15,Kwun Tong,Kwun Tong,10722
69,2007035,Laguna City Minibus Terminus,"(22.307173, 114.229078)","Lion Rock Road, near 70 Lion Rock Road","(22.329839, 114.18826)",8.9,13,Kwun Tong,Kowloon City,8994
69a,2007068,Laguna City Minibus Terminus,"(22.307173, 114.229078)","Tung Choi Street, outside Mong Kok Police Station","(22.324674, 114.169391)",9.7,17,Kwun Tong,Yau Tsim Mong,19235
103,2007134,Clear Water Bay Second Beach,"(22.286952, 114.287128)",Kwun TongFerry Pier Light Bus Terminus,"(22.307609, 114.222159)",11.1,28,Sai Kung,Kwun Tong,24848
103,2007167,Kwun TongFerry Pier Light Bus Terminus,"(22.307609, 114.222159)",Clear Water Bay Second Beach,"(22.286952, 114.287128)",11.1,25,Kwun Tong,Sai Kung,7690
69a,2007168,Laguna City Minibus Terminus,"(22.307173, 114.229078)","Tung Choi Street, outside Mong Kok Police Station","(22.324674, 114.169391)",9.7,17,Kwun Tong,Yau Tsim Mong,9911
69,2007169,Laguna City Minibus Terminus,"(22.307173, 114.229078)","Sheung Yee Road, near Modular Integrated Construction Display Centre, Zero Carbon Building","(22.32067, 114.207808)",5.5,7,Kwun Tong,Kwun Tong,4125
104,2007200,Hong Kong University of Science and Technology (South Station),"(22.333636, 114.263742)",Hong Kong University of Science and Technology (South Station),"(22.333636, 114.263742)",8.8,38,Sai Kung,Sai Kung,19115
103m,2007201,Tseung Kwan O Station Public Transport Interchange,"(22.308569, 114.260397)",Tseung Kwan O Station Public Transport Interchange,"(22.308569, 114.260397)",9.9,21,Sai Kung,Sai Kung,16366
46,2007233,"Kai Yan Street, near SKH Kowloon Bay Kei Lok Primary School","(22.329051, 114.206683)","Kai Yan Street, near SKH Kowloon Bay Kei Lok Primary School","(22.329051, 114.206683)",8.3,26,Kwun Tong,Kwun Tong,19963
46,2007234,"Sham Mong Road, near Chung Yew Building","(22.322524, 114.159859)","Kai Yan Street, near SKH Kowloon Bay Kei Lok Primary School","(22.329051, 114.206683)",8.3,17,Yau Tsim Mong,Kwun Tong,7945
99,2007266,Hoi Kwai Road Public Transport Interchange,"(22.368332, 114.110676)",Riviera Gardens,"(22.362924, 114.1143)",4.2,8,Tsuen Wan,Tsuen Wan,7147
48,2007267,"Lee On Road, near Lee Ming House, Shun Lee Estate","(22.332406, 114.225117)"," Lee On Road, near Lee Ming House, Shun Lee Estate","(22.332406, 114.225117)",7.8,29,Kwun Tong,Kwun Tong,10613
49,2007299,"Shun On Road, near Tin Wing House, Shun Tin Estate","(22.326527, 114.226882)","Shun On Road, near Tin Wing House, Shun Tin Estate","(22.326527, 114.226882)",8.2,32,Kwun Tong,Kwun Tong,15422
49m,2007300,"Shun On Road, near Tin Wing House, Shun Tin Estate","(22.326427, 114.227183)","Shun On Road, near Tin Wing House, Shun Tin Estate","(22.326427, 114.227183)",5.0,17,Kwun Tong,Kwun Tong,4994
48,2007332,"Lee On Road, near Lee Ming House, Shun Lee Estate","(22.332406, 114.225117)","Shun On Road, near Shun Tin Estate","(22.32584, 114.228396)",6.7,16,Kwun Tong,Kwun Tong,5031
112m,2007365,LOHAS Park Station Public Transport Interchange,"(22.296436, 114.268455)",Tseung Kwan O Industrial Estate,"(22.28326, 114.270183)",5.2,12,Sai Kung,Sai Kung,8801
112a,2007366,LOHAS Park Station Public Transport Interchange,"(22.296436, 114.268455)","Shek Kok Road, near The Beaumount","(22.297075, 114.273851)",3.9,6,Sai Kung,Sai Kung,3040
112s,2007367,Tseung Kwan O Station Public Transport Interchange,"(22.308569, 114.260397)",Tseung Kwan O Industrial Estate,"(22.28326, 114.270183)",7.0,13,Sai Kung,Sai Kung,10810
113,2007368,"Shek Kok Road, near The Beaumount II","(22.297075, 114.273851)","Shek Kok Road, near The Beaumount II","(22.297075, 114.273851)",6.5,19,Sai Kung,Sai Kung,7355
75,2007398,"Fook Hong Street, near Kam Bo Building","(22.4451, 114.02857)","UNNAMED ACCESS ROAD, near Lok Ma Chau Station","(22.514963, 114.06645)",10.0,27,Yuen Long,Yuen Long,24392
75,2007431,"Fook Hong Street, near Kam Bo Building","(22.4451, 114.02857)","Ha Wan Tsuen East Road, near Ha Wan Tsuen Basketball Court","(22.515094, 114.074382)",8.2,26,Yuen Long,Yuen Long,25498
54a,2007432,"Fanling Station Road, Outside Fanling Station","(22.491553, 114.139596)",Wo Mun Street Public Light Bus Terminus,"(22.500287, 114.144201)",3.9,7,North District,North District,2707
66s,2007433,Ping Ting Road,"(22.339924, 114.207957)",Ping Ting Road,"(22.339924, 114.207957)",13.0,19,Wong Tai Sin,Wong Tai Sin,14822
54a,2007434,Wo Mun Street Public Light Bus Terminus,"(22.50044, 114.144337)","Fanling Station Road, Outside Fanling Station","(22.491553, 114.139596)",3.9,4,North District,North District,231
54k,2007435,Fanling Station Public Light Bus (Scheduled) Service Terminus,"(22.492853, 114.138615)",Fanling Station Public Light Bus (Scheduled) Service Terminus,"(22.492853, 114.138615)",5.6,23,North District,North District,6616
75,2007436,"Ha Wan Tsuen East Road, near Ha Wan Tsuen Basketball Court","(22.515094, 114.074382)","Fook Hong Street, near Kam Bo Building","(22.4451, 114.02857)",8.2,22,Yuen Long,Yuen Long,11650
75,2007437,"Castle Peak Road - San Tin, near Tung Shan Temple","(22.498571, 114.077921)","UNNAMED ACCESS ROAD, near Lok Ma Chau Station","(22.514963, 114.06645)",6.0,8,Yuen Long,Yuen Long,2364
618,2007438,Tin Yan Shopping Centre,"(22.46255, 113.996421)",Tin Yan Shopping Centre,"(22.46255, 113.996421)",14.4,29,Yuen Long,Yuen Long,7096
76,2007464,"Fook Hong Street, near Kam Bo Building","(22.4451, 114.02857)","Ka Lung Road, near San Tin Barracks Block 12","(22.489317, 114.080882)",7.5,22,Yuen Long,Yuen Long,22419
27,2007498,"Wai Fung Street, near Shun Lee Building","(22.244128, 114.156542)","Sai On Street, near Port Centre","(22.248842, 114.155115)",3.8,9,Southern District,Southern District,4594
29,2007499,"Ap Lei Chau Bridge Road, near Lei Fook House Low Block, Ap Lei Chau Estate","(22.244227, 114.15074)","Ap Lei Chau Bridge Road, near Lei Fook House Low Block, Ap Lei Chau Estate","(22.244227, 114.15074)",3.9,24,Southern District,Southern District,6266
51m,2007500,Richland Gardens Minibus Terminus,"(22.329548, 114.206266)",Richland Gardens Minibus Terminus,"(22.329548, 114.206266)",3.4,11,Kwun Tong,Kwun Tong,3692
27a,2007501,"Sai On Street, near Port Centre","(22.248842, 114.155115)"," Sai On Street, near Port Centre","(22.248842, 114.155115)",4.0,10,Southern District,Southern District,4400
n27,2007502," Sai On Street, near Port Centre","(22.248842, 114.155115)"," Sai On Street, near Port Centre","(22.248842, 114.155115)",6.0,20,Southern District,Southern District,5919
29a,2007530,"Ap Lei Chau Bridge Road, near Lei Fook House Low Block, Ap Lei Chau Estate","(22.244227, 114.15074)",Ocean Park (Water World),"(22.236101, 114.167077)",5.5,21,Southern District,Southern District,8841
29x,2007531,"Ap Lei Chau Bridge Road, near Lei Fook House Low Block, Ap Lei Chau Estate","(22.244227, 114.15074)","Ap Lei Chau Bridge Road, near Lei Fook House Low Block, Ap Lei Chau Estate","(22.244227, 114.15074)",5.5,16,Southern District,Southern District,7934
39,2007532,"Kung Um Road, near Pui Hong Kui","(22.413626, 114.016036)","Fung Cheung Road, near Wah Ting House, Fung Ting Court","(22.442936, 114.032478)",7.2,14,Yuen Long,Yuen Long,8435
